iter	Logloss
221	0.3080644529
222	0.3077284068
223	0.3068237691
224	0.3060865402
225	0.3053260771
226	0.3049830494
227	0.3043830528
228	0.3036527099
229	0.3029136572
230	0.3023233273
231	0.301912639
232	0.3011656426
233	0.3004942046
234	0.2999038652
235	0.298937415
236	0.298305141
237	0.2973947757
238	0.2966948782
239	0.2958804408
240	0.2953488989
241	0.2947417195
242	0.2940496738
243	0.2932209121
244	0.2924235498
245	0.2919598111
246	0.2914943124
247	0.290899676
248	0.2905064284
249	0.2898831929
250	0.2892827357
251	0.288636526
252	0.2879287376
253	0.2872203704
254	0.2866838715
255	0.2860201247
256	0.2853212332
257	0.284621117
258	0.2841677693
259	0.2836010459
260	0.2830725157
261	0.2825041492
262	0.281918689
263	0.2812887855
264	0.2805886424
265	0.2800103146
266	0.2792622463
267	0.2787674435
268	0.2780206211
269	0.2773174242
270	0.2768602146
271	0.2764746728
272	0.2760350606
273	0.2757365417
274	0.2754042506
275	0.2748378976
276	0.2745782594
277	0.2739179956
278	0.2734328641
279	0.2728267263
280	0.2722132318
281	0.2715882044
282	0.2710644481
283	0.2706832659
284	0.2700916303
285	0.2694722085
286	0.2689542476
287	0.2683941569
288	0.2678941629
289	0.2675460663
290	0.2670631999
291	0.2663277556
292	0.2658531528
293	0.2653164375
294	0.2646421846
295	0.2641412619
296	0.2636674793
297	0.2632605621
298	0.2626312908
299	0.2624862214
300	0.2620969202
301	0.2616634547
302	0.2611310569
303	0.2604132408
304	0.2599923218
305	0.2597564406
306	0.2591276224
307	0.25847468
308	0.2581753196
309	0.2576666904
310	0.2573674854
311	0.2568757629
312	0.256643383
313	0.2560432401
314	0.2553799008
315	0.2549712372
316	0.2544299743
317	0.2540809564
318	0.2537608549
319	0.253368002
320	0.2528447526
321	0.252457543
322	0.2520433227
323	0.2513768323
324	0.2509293248
325	0.2503776682
326	0.2501442881
327	0.2497328617
328	0.2492150785
329	0.2489656136
330	0.2485583071
331	0.2480637014
332	0.2477887519
333	0.2474849835
334	0.2469451381
335	0.2463614066
336	0.2458105931
337	0.2453765833
338	0.2450810024
339	0.244543273
340	0.2444971712
341	0.2440021964
342	0.2436682586
343	0.243281884
344	0.2427988588
345	0.2420940372
346	0.2416285829
347	0.241382371
348	0.2410782837
349	0.2406212327
350	0.2403829356
351	0.2396747257
352	0.2394747164
353	0.2390714826
354	0.2388158149
355	0.2382696738
356	0.237933726
357	0.2377239299
358	0.2371700014
359	0.2367061357
360	0.2363905495
361	0.2360849933
362	0.2359404633
363	0.2355967893
364	0.2352189574
365	0.2348177883
366	0.2343458791
367	0.2338760483
368	0.2335117925
369	0.2331533821
370	0.2327980911
371	0.2325471451
372	0.232082314
373	0.2316150266
374	0.231256681
375	0.2309665203
376	0.2305486772
377	0.230236223
378	0.2298493708
379	0.2294705013
380	0.228919172
381	0.2284711389
382	0.2282752744
383	0.2280229978
384	0.2278447973
385	0.2276389928
386	0.2272837557
387	0.2269428648
388	0.2264794456
389	0.2260881834
390	0.2257320096
391	0.2253824885
392	0.2250200978
393	0.2247847534
394	0.2245611829
395	0.2242187273
396	0.2239822281
397	0.2236989411
398	0.2235183457
399	0.2230596154
400	0.2227510879
401	0.2224446297
402	0.2220861896
403	0.2216682781
404	0.2212574044
405	0.2210519856
406	0.2206643831
407	0.2204109945
408	0.2199870517
409	0.2197389093
410	0.2194103772
411	0.2192344977
412	0.2189914121
413	0.2188486546
414	0.2183328613
415	0.2179773856
416	0.2174185698
417	0.2168940985
418	0.2167618051
419	0.2164390609
420	0.2161195885
421	0.2157739355
422	0.2154251106
423	0.2152801949
424	0.2151493865
425	0.2147988045
426	0.2145900077
427	0.2145617075
428	0.214195391
429	0.2137314576
430	0.2134406405
431	0.2130803711
432	0.2127306326
433	0.2124361941
434	0.2121918431
435	0.2117953397
436	0.2115264685
437	0.211472014
438	0.2110566077
439	0.2106894246
440	0.210300896
441	0.2100870544
442	0.209690836
443	0.2095228315
444	0.2092186306
445	0.2088236379
446	0.2086837284
447	0.2083092503
448	0.2080789763
449	0.2078828968
450	0.2077081037
451	0.2073887399
452	0.2071468801
453	0.2068551299
454	0.2064547008
455	0.2062674063
456	0.2061273623
457	0.2057085748
458	0.2053246315
459	0.2049620038
460	0.204572816
461	0.2043177586
462	0.2038484905
463	0.2035839534
464	0.2032158403
465	0.2028198458
466	0.2025824002
467	0.2022490043
468	0.2020142843
469	0.2016579633
470	0.2013781166
471	0.2011221673
472	0.2009132394
473	0.2007324202
474	0.2005490385
475	0.2001918408
476	0.1998944478
477	0.1996889622
478	0.1993150775
479	0.1989392832
480	0.1985244245
481	0.1983377642
482	0.1981127701
483	0.1977740704
484	0.197438111
485	0.1972434007
486	0.1971476654
487	0.1969987982
488	0.1968648484
489	0.1964348401
490	0.1962840183
491	0.1959970989
492	0.1957026
493	0.195569464
494	0.1953951926
495	0.1950399902
496	0.1947468762
497	0.1945522117
498	0.1943764962
499	0.1940251349
500	0.1937778725
501	0.1934710474
502	0.1932006246
503	0.1928385856
504	0.192600182
505	0.1924010307
506	0.1920761755
507	0.1919133971
508	0.1915182049
509	0.1912839418
510	0.1911049943
511	0.1907811889
512	0.1907129102
513	0.1904574199
514	0.190042186
515	0.1898838072
516	0.1896718087
517	0.1894975274
518	0.1891323005
519	0.1888891167
520	0.1886605361
521	0.1882819235
522	0.1879103274
523	0.1876983325
524	0.1873621051
525	0.1872113726
526	0.1869435528
527	0.1867206001
528	0.1864837322
529	0.1861920764
530	0.1859057523
531	0.1855492274
532	0.1853846531
533	0.1848785999
534	0.1847219902
535	0.1845289162
536	0.1842169688
537	0.1840774684
538	0.1838167822
539	0.1833459752
540	0.18298596
541	0.1828048969
542	0.1825574939
543	0.182463847
544	0.1820996228
545	0.1818372264
546	0.1815645409
547	0.1813658294
548	0.1810980093
549	0.1807709011
550	0.1804221845
551	0.1800694533
552	0.1799602565
553	0.1796782384
554	0.1795037867
555	0.1791342976
556	0.1790667281
557	0.1787020936
558	0.1784697407
559	0.1782168127
560	0.1781041336
561	0.1779690815
562	0.1776913845
563	0.1774607482
564	0.1771881472
565	0.1770474506
566	0.1768181988
567	0.1765420646
568	0.1763250856
569	0.1760322009
570	0.175764169
571	0.1754087325
572	0.1751395522
573	0.1749395357
574	0.1747538685
575	0.1745199176
576	0.1742042575
577	0.1738339962
578	0.1736563786
579	0.1734342063
580	0.1730258476
581	0.1727580211
582	0.1725132454
583	0.1723444053
584	0.1721915874
585	0.1720101726
586	0.171686636
587	0.1715266264
588	0.171385538
589	0.1710947852
590	0.170846727
591	0.1706714564
592	0.170434726
593	0.1700938648
594	0.1699998661
595	0.1697973831
596	0.1696125744
597	0.1695729348
598	0.1693371224
599	0.1692268933
600	0.1691468351
601	0.1689635914
602	0.1686351574
603	0.1683738732
604	0.1681889783
605	0.1680077467
606	0.1677377026
607	0.1676204884
608	0.1675040862
609	0.1671551457
610	0.1671135634
611	0.1669803591
612	0.1668549006
613	0.1665931582
614	0.1663616516
615	0.166112737
616	0.1659293037
617	0.1658495039
618	0.1657120754
619	0.1654821489
620	0.1653202355
621	0.1650089597
622	0.1648093473
623	0.1646300533
624	0.1643549658
625	0.164065951
626	0.1638388258
627	0.1636262202
628	0.1633786767
629	0.1630748601
630	0.16278596
631	0.1626501266
632	0.1622232057
633	0.1619683909
634	0.1616989778
635	0.1615641815
636	0.1612695218
637	0.1611546005
638	0.1610592727
639	0.1609504341
640	0.160756102
641	0.160548572
642	0.1602481113
643	0.1600716693
644	0.1598146846
645	0.1596441306
646	0.1595232992
647	0.1593869098
648	0.1592368699
649	0.158942464
650	0.1587451617
651	0.1585819378
652	0.1583508746
653	0.1581090303
654	0.1579868851
655	0.1577991991
656	0.1575755218
657	0.1572687591
658	0.1570960916
659	0.1567847019
660	0.1566085539
661	0.1564884231
662	0.1563095341
663	0.1560765597
664	0.1558256457
665	0.1556055596
666	0.1554082947
667	0.1552606093
668	0.1551123053
669	0.1550174029
670	0.1547660964
671	0.1546316144
672	0.1543918966
673	0.1542864898
674	0.1541635615
675	0.1540624679
676	0.1538702172
677	0.1536403151
678	0.1535085474
679	0.1532989693
680	0.1531505891
681	0.1530191996
682	0.1527739318
683	0.1525750619
684	0.1523523375
685	0.1520158573
686	0.1516476157
687	0.1514887435
688	0.1512332522
689	0.1510674983
690	0.1509698585
691	0.1507374801
692	0.150651232
693	0.1504298532
694	0.1502646569
695	0.1500966045
696	0.1498462299
697	0.1496598449
698	0.1494506132
699	0.149441126
700	0.1493661266
701	0.1491755506
702	0.1489936459
703	0.1487278823
704	0.1485930015
705	0.1484616975
706	0.1483623374
707	0.1481695711
708	0.14794516
709	0.1477039889
710	0.1474633544
711	0.1472643041
712	0.1470675555
713	0.1470008129
714	0.1468556386
715	0.1467601224
716	0.1464832982
717	0.1462550719
718	0.1460497841
719	0.1457588457
720	0.1455599129
721	0.1454409919
722	0.1452847961
723	0.145127916
724	0.1449804796
725	0.1448067084
726	0.1446343276
727	0.1445055074
728	0.1443395529
729	0.1441348045
730	0.1440498256
731	0.1439401054
732	0.1436774147
733	0.143470862
734	0.1433030491
735	0.1430588543
736	0.1428575061
737	0.1427386501
738	0.1425946985
739	0.1423947351
740	0.1421848622
741	0.1419284053
742	0.1417436826
743	0.1415806851
744	0.1413847239
745	0.1413048674
746	0.1410806157
747	0.14090417
748	0.1407720111
749	0.1405258708
750	0.1403464227
751	0.1401728336
752	0.1398975507
753	0.1397434086
754	0.139569109
755	0.139286837
756	0.1392357507
757	0.1391223045
758	0.1390405545
759	0.1388841169
760	0.1387690232
761	0.1386842236
762	0.1385086098
763	0.1382353665
764	0.138103951
765	0.1379492713
766	0.1378239391
767	0.1377583687
768	0.1376205652
769	0.1374951759
770	0.1372894283
771	0.1370974939
772	0.1369155107
773	0.1366198955
774	0.1364508776
775	0.1362973702
776	0.1362116589
777	0.1361790601
778	0.1359626701
779	0.1357029601
780	0.1355830145
781	0.1354794793
782	0.1353910347
783	0.1351964596
784	0.1350559219
785	0.1349489478
786	0.1349225446
787	0.1346506653
788	0.1345084021
789	0.1343839191
790	0.1342480965
791	0.1341587606
792	0.134034959
793	0.1338994278
794	0.1336860593
795	0.1336015873
796	0.1334253424
797	0.1332246576
798	0.1330072382
799	0.1328774691
800	0.1327155443
801	0.1325859374
802	0.1324659523
803	0.1321867847
804	0.1320399035
805	0.1318821566
806	0.1316556738
807	0.1315611594
808	0.131429208
809	0.131361805
810	0.1312124707
811	0.1310584763
812	0.1308586245
813	0.1307935444
814	0.1305831053
815	0.1304437372
816	0.1302981824
817	0.1302370141
818	0.1300776519
819	0.1299201727
820	0.1296712256
821	0.1295493171
822	0.1294479466
823	0.1291381054
824	0.1289627475
825	0.1288438696
826	0.1287441153
827	0.128680199
828	0.128509336
829	0.1283655351
830	0.128287172
831	0.1281096392
832	0.1278886406
833	0.1276895473
834	0.127498018
835	0.1273755242
836	0.1272935885
837	0.1270482147
838	0.1269586865
839	0.1268197475
840	0.1267504948
841	0.1265725266
842	0.1263457932
843	0.1262174247
844	0.126017505
845	0.1258430877
846	0.1256893958
847	0.125439839
848	0.1252930499
849	0.125077359
850	0.1249227568
851	0.1247321529
852	0.1246216444
853	0.1245101606
854	0.1242668451
855	0.1241820695
856	0.1240365894
857	0.1238676114
858	0.1237400465
859	0.1235777901
860	0.1234006177
861	0.123167075
862	0.1229331561
863	0.1227329269
864	0.1226496986
865	0.1223936973
866	0.1222420581
867	0.1220760921
868	0.1219545403
869	0.1217850813
870	0.1215688999
871	0.1214961091
872	0.1213314477
873	0.1211686058
874	0.1210148068
875	0.1209580283
876	0.1208998796
877	0.1207556
878	0.1205692236
879	0.1205091854
880	0.1204400765
881	0.1203387298
882	0.1201901766
883	0.1200906016
884	0.1199352024
885	0.1197389484
886	0.1195639629
887	0.1194203122
888	0.1193072835
889	0.1191582271
890	0.1189901428
891	0.11883838
892	0.1186286957
893	0.1184102282
894	0.1182495594
895	0.1180808643
896	0.1179468618
897	0.1177292493
898	0.1176395292
899	0.1174622666
900	0.1173362566
901	0.1171876861
902	0.1170180306
903	0.1169921418
904	0.1168433366
905	0.1167147022
906	0.1165727346
907	0.1164528139
908	0.1162042731
909	0.1160309399
910	0.1159105032
911	0.1158198397
912	0.1156171266
913	0.1154151062
914	0.1152009628
915	0.1149800871
916	0.1148696997
917	0.1147496009
918	0.1145556003
919	0.1144583346
920	0.1143388243
921	0.1141902812
922	0.1141101963
923	0.1139412559
924	0.1138214721
925	0.1136710285
926	0.1135233944
927	0.1133317157
928	0.113193395
929	0.1130750931
930	0.1129859733
931	0.11279929
932	0.1126122488
933	0.112458281
934	0.1124220679
935	0.1122122049
936	0.1121434448
937	0.1120468811
938	0.1119567361
939	0.1118173217
940	0.1116180506
941	0.1115276188
942	0.1113526314
943	0.1111999396
944	0.1110753114
945	0.1109783044
946	0.110784654
947	0.1106468103
948	0.1105324356
949	0.1104533138
950	0.1103039571
951	0.1101347041
952	0.1099756954
953	0.1098640574
954	0.1097627797
955	0.109642808
956	0.1096115508
957	0.1094982929
958	0.1093677627
959	0.1092845835
960	0.1091237779
961	0.1089827313
962	0.1088582828
963	0.1087580626
964	0.1086184394
965	0.1083969788
966	0.1082273571
967	0.1081591035
968	0.1080794076
969	0.1080102185
970	0.1079081758
971	0.1077906016
972	0.1076431087
973	0.1074290194
974	0.107253593
975	0.10705674
976	0.1069158451
977	0.1068811617
978	0.1067148034
979	0.1066399415
980	0.1064397848
981	0.1062854668
982	0.1062485804
983	0.1060985092
984	0.1060128053
985	0.1058541257
986	0.1057072601
987	0.1055392194
988	0.105305307
989	0.10520146
990	0.1050899804
991	0.1050499431
992	0.1048896901
993	0.1048020182
994	0.104661153
995	0.1045945423
996	0.1043943242
997	0.104282919
998	0.1041663203
999	0.1041315099
